"Town","FIPS","Year","Measure Type","Variable","Value"
"Branford","0900907310","2007-2011","Number","Deaths",12
"Branford","0900907310","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Branford","0900907310","2008-2012","Crude Rate (per 100,000)","Deaths",9.28
"Branford","0900907310","2008-2012","Number","Deaths",13
"Branford","0900907310","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Branford","0900907310","2010-2014","Crude Rate (per 100,000)","Deaths",9.27
"Branford","0900907310","2010-2014","Number","Deaths",13
"Bridgeport","0900108070","2006-2010","AAMR (per 100,000)","Deaths",4.9
"Bridgeport","0900108070","2006-2010","Crude Rate (per 100,000)","Deaths",4.77
"Bridgeport","0900108070","2006-2010","Number","Deaths",34
"Bridgeport","0900108070","2007-2011","AAMR (per 100,000)","Deaths",5.36
"Bridgeport","0900108070","2007-2011","Crude Rate (per 100,000)","Deaths",5.16
"Bridgeport","0900108070","2007-2011","Number","Deaths",37
"Bridgeport","0900108070","2008-2012","AAMR (per 100,000)","Deaths",5.32
"Bridgeport","0900108070","2008-2012","Crude Rate (per 100,000)","Deaths",5.26
"Bridgeport","0900108070","2008-2012","Number","Deaths",38
"Bridgeport","0900108070","2010-2014","AAMR (per 100,000)","Deaths",5.22
"Bridgeport","0900108070","2010-2014","Crude Rate (per 100,000)","Deaths",5.19
"Bridgeport","0900108070","2010-2014","Number","Deaths",38
"Bridgewater","0900508210","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Bridgewater","0900508210","2006-2010","Crude Rate (per 100,000)","Deaths",11.71
"Bridgewater","0900508210","2006-2010","Number","Deaths",1
"Bridgewater","0900508210","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Bridgewater","0900508210","2007-2011","Crude Rate (per 100,000)","Deaths",11.17
"Bridgewater","0900508210","2007-2011","Number","Deaths",1
"Bridgewater","0900508210","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Bridgewater","0900508210","2008-2012","Crude Rate (per 100,000)","Deaths",11.59
"Bridgewater","0900508210","2008-2012","Number","Deaths",1
"Bridgewater","0900508210","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Bridgewater","0900508210","2010-2014","Crude Rate (per 100,000)","Deaths",11.75
"Bridgewater","0900508210","2010-2014","Number","Deaths",1
"Bristol","0900308490","2006-2010","AAMR (per 100,000)","Deaths",9.22
"Bristol","0900308490","2006-2010","Crude Rate (per 100,000)","Deaths",9.59
"Bristol","0900308490","2006-2010","Number","Deaths",29
"Bristol","0900308490","2007-2011","AAMR (per 100,000)","Deaths",11
"Bristol","0900308490","2007-2011","Crude Rate (per 100,000)","Deaths",11.24
"Bristol","0900308490","2007-2011","Number","Deaths",34
"Bristol","0900308490","2008-2012","AAMR (per 100,000)","Deaths",12.42
"Bristol","0900308490","2008-2012","Crude Rate (per 100,000)","Deaths",12.57
"Bristol","0900308490","2008-2012","Number","Deaths",38
"Bristol","0900308490","2010-2014","AAMR (per 100,000)","Deaths",10.37
"Bristol","0900308490","2010-2014","Crude Rate (per 100,000)","Deaths",10.9
"Bristol","0900308490","2010-2014","Number","Deaths",33
"Brookfield","0900108980","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Brookfield","0900108980","2006-2010","Crude Rate (per 100,000)","Deaths",11.1
"Brookfield","0900108980","2006-2010","Number","Deaths",9
"Brookfield","0900108980","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Brookfield","0900108980","2007-2011","Crude Rate (per 100,000)","Deaths",11.02
"Brookfield","0900108980","2007-2011","Number","Deaths",9
"Brookfield","0900108980","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Brookfield","0900108980","2008-2012","Crude Rate (per 100,000)","Deaths",12.14
"Brookfield","0900108980","2008-2012","Number","Deaths",10
"Brookfield","0900108980","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Brookfield","0900108980","2010-2014","Crude Rate (per 100,000)","Deaths",13.13
"Brookfield","0900108980","2010-2014","Number","Deaths",11
"Brooklyn","0901509190","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Brooklyn","0901509190","2006-2010","Crude Rate (per 100,000)","Deaths",9.89
"Brooklyn","0901509190","2006-2010","Number","Deaths",4
"Brooklyn","0901509190","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Brooklyn","0901509190","2007-2011","Crude Rate (per 100,000)","Deaths",14.76
"Brooklyn","0901509190","2007-2011","Number","Deaths",6
"Brooklyn","0901509190","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Brooklyn","0901509190","2008-2012","Crude Rate (per 100,000)","Deaths",17.05
"Brooklyn","0901509190","2008-2012","Number","Deaths",7
"Brooklyn","0901509190","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Brooklyn","0901509190","2010-2014","Crude Rate (per 100,000)","Deaths",17.02
"Brooklyn","0901509190","2010-2014","Number","Deaths",7
"Burlington","0900310100","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Burlington","0900310100","2006-2010","Crude Rate (per 100,000)","Deaths",13.18
"Burlington","0900310100","2006-2010","Number","Deaths",6
"Burlington","0900310100","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Burlington","0900310100","2007-2011","Crude Rate (per 100,000)","Deaths",15.23
"Burlington","0900310100","2007-2011","Number","Deaths",7
"Burlington","0900310100","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Burlington","0900310100","2008-2012","Crude Rate (per 100,000)","Deaths",15.05
"Burlington","0900310100","2008-2012","Number","Deaths",7
"Burlington","0900310100","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Burlington","0900310100","2010-2014","Crude Rate (per 100,000)","Deaths",12.74
"Burlington","0900310100","2010-2014","Number","Deaths",6
"Canaan","0900510940","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Canaan","0900510940","2006-2010","Crude Rate (per 100,000)","Deaths",-6666
"Canaan","0900510940","2006-2010","Number","Deaths",-6666
"Canaan","0900510940","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Canaan","0900510940","2007-2011","Crude Rate (per 100,000)","Deaths",-6666
"Canaan","0900510940","2007-2011","Number","Deaths",-6666
"Canaan","0900510940","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Canaan","0900510940","2008-2012","Crude Rate (per 100,000)","Deaths",-6666
"Canaan","0900510940","2008-2012","Number","Deaths",-6666
"Canaan","0900510940","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Canaan","0900510940","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Canaan","0900510940","2010-2014","Number","Deaths",-6666
"Canterbury","0901512130","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Canterbury","0901512130","2006-2010","Crude Rate (per 100,000)","Deaths",11.79
"Canterbury","0901512130","2006-2010","Number","Deaths",3
"Canterbury","0901512130","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Canterbury","0901512130","2007-2011","Crude Rate (per 100,000)","Deaths",11.74
"Canterbury","0901512130","2007-2011","Number","Deaths",3
"Canterbury","0901512130","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Canterbury","0901512130","2008-2012","Crude Rate (per 100,000)","Deaths",19.48
"Canterbury","0901512130","2008-2012","Number","Deaths",5
"Canterbury","0901512130","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Canterbury","0901512130","2010-2014","Crude Rate (per 100,000)","Deaths",43.06
"Canterbury","0901512130","2010-2014","Number","Deaths",11
"Canton","0900312270","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Canton","0900312270","2006-2010","Crude Rate (per 100,000)","Deaths",17.93
"Canton","0900312270","2006-2010","Number","Deaths",9
"Canton","0900312270","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Canton","0900312270","2007-2011","Crude Rate (per 100,000)","Deaths",13.81
"Canton","0900312270","2007-2011","Number","Deaths",7
"Canton","0900312270","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Canton","0900312270","2008-2012","Crude Rate (per 100,000)","Deaths",11.66
"Canton","0900312270","2008-2012","Number","Deaths",6
"Canton","0900312270","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Canton","0900312270","2010-2014","Crude Rate (per 100,000)","Deaths",11.62
"Canton","0900312270","2010-2014","Number","Deaths",6
"Chaplin","0901513810","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Chaplin","0901513810","2006-2010","Crude Rate (per 100,000)","Deaths",16.93
"Chaplin","0901513810","2006-2010","Number","Deaths",2
"Chaplin","0901513810","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Chaplin","0901513810","2007-2011","Crude Rate (per 100,000)","Deaths",16.12
"Chaplin","0901513810","2007-2011","Number","Deaths",2
"Chaplin","0901513810","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Chaplin","0901513810","2008-2012","Crude Rate (per 100,000)","Deaths",26.03
"Chaplin","0901513810","2008-2012","Number","Deaths",3
"Chaplin","0901513810","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Chaplin","0901513810","2010-2014","Crude Rate (per 100,000)","Deaths",35
"Chaplin","0901513810","2010-2014","Number","Deaths",4
"Cheshire","0900914160","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Cheshire","0900914160","2006-2010","Crude Rate (per 100,000)","Deaths",8.22
"Cheshire","0900914160","2006-2010","Number","Deaths",12
"Cheshire","0900914160","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Cheshire","0900914160","2007-2011","Crude Rate (per 100,000)","Deaths",8.22
"Cheshire","0900914160","2007-2011","Number","Deaths",12
"Cheshire","0900914160","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Cheshire","0900914160","2008-2012","Crude Rate (per 100,000)","Deaths",8.89
"Cheshire","0900914160","2008-2012","Number","Deaths",13
"Cheshire","0900914160","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Cheshire","0900914160","2010-2014","Crude Rate (per 100,000)","Deaths",7.52
"Cheshire","0900914160","2010-2014","Number","Deaths",11
"Chester","0900714300","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Chester","0900714300","2006-2010","Crude Rate (per 100,000)","Deaths",15.09
"Chester","0900714300","2006-2010","Number","Deaths",3
"Chester","0900714300","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Chester","0900714300","2007-2011","Crude Rate (per 100,000)","Deaths",25.1
"Chester","0900714300","2007-2011","Number","Deaths",5
"Chester","0900714300","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Chester","0900714300","2008-2012","Crude Rate (per 100,000)","Deaths",25.05
"Chester","0900714300","2008-2012","Number","Deaths",5
"Chester","0900714300","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Chester","0900714300","2010-2014","Crude Rate (per 100,000)","Deaths",19.14
"Chester","0900714300","2010-2014","Number","Deaths",4
"Clinton","0900715350","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Clinton","0900715350","2006-2010","Crude Rate (per 100,000)","Deaths",16.52
"Clinton","0900715350","2006-2010","Number","Deaths",11
"Clinton","0900715350","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Clinton","0900715350","2007-2011","Crude Rate (per 100,000)","Deaths",18.06
"Clinton","0900715350","2007-2011","Number","Deaths",12
"Clinton","0900715350","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Clinton","0900715350","2008-2012","Crude Rate (per 100,000)","Deaths",15.09
"Clinton","0900715350","2008-2012","Number","Deaths",10
"Clinton","0900715350","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Clinton","0900715350","2010-2014","Crude Rate (per 100,000)","Deaths",13.63
"Clinton","0900715350","2010-2014","Number","Deaths",9
"Colchester","0901115910","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Colchester","0901115910","2006-2010","Crude Rate (per 100,000)","Deaths",10.1
"Colchester","0901115910","2006-2010","Number","Deaths",8
"Colchester","0901115910","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Colchester","0901115910","2007-2011","Crude Rate (per 100,000)","Deaths",12.56
"Colchester","0901115910","2007-2011","Number","Deaths",10
"Colchester","0901115910","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Colchester","0901115910","2008-2012","Crude Rate (per 100,000)","Deaths",13.69
"Colchester","0901115910","2008-2012","Number","Deaths",11
"Colchester","0901115910","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Colchester","0901115910","2010-2014","Crude Rate (per 100,000)","Deaths",13.64
"Colchester","0901115910","2010-2014","Number","Deaths",11
"Colebrook","0900516050","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Colebrook","0900516050","2006-2010","Crude Rate (per 100,000)","Deaths",14.7
"Colebrook","0900516050","2006-2010","Number","Deaths",1
"Colebrook","0900516050","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Colebrook","0900516050","2007-2011","Crude Rate (per 100,000)","Deaths",14.34
"Colebrook","0900516050","2007-2011","Number","Deaths",1
"Colebrook","0900516050","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Colebrook","0900516050","2008-2012","Crude Rate (per 100,000)","Deaths",13.48
"Colebrook","0900516050","2008-2012","Number","Deaths",1
"Colebrook","0900516050","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Colebrook","0900516050","2010-2014","Crude Rate (per 100,000)","Deaths",27.31
"Colebrook","0900516050","2010-2014","Number","Deaths",2
"Columbia","0901316400","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Columbia","0901316400","2006-2010","Crude Rate (per 100,000)","Deaths",14.75
"Columbia","0901316400","2006-2010","Number","Deaths",4
"Columbia","0901316400","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Columbia","0901316400","2007-2011","Crude Rate (per 100,000)","Deaths",7.34
"Columbia","0901316400","2007-2011","Number","Deaths",2
"Columbia","0901316400","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Columbia","0901316400","2008-2012","Crude Rate (per 100,000)","Deaths",7.29
"Columbia","0901316400","2008-2012","Number","Deaths",2
"Columbia","0901316400","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Columbia","0901316400","2010-2014","Crude Rate (per 100,000)","Deaths",3.66
"Columbia","0901316400","2010-2014","Number","Deaths",1
"Connecticut","09","2006-2010","AAMR (per 100,000)","Deaths",7.98
"Connecticut","09","2006-2010","Crude Rate (per 100,000)","Deaths",8.38
"Connecticut","09","2006-2010","Number","Deaths",1485
"Connecticut","09","2007-2011","AAMR (per 100,000)","Deaths",8.41
"Connecticut","09","2007-2011","Crude Rate (per 100,000)","Deaths",8.85
"Connecticut","09","2007-2011","Number","Deaths",1574
"Connecticut","09","2008-2012","AAMR (per 100,000)","Deaths",8.98
"Connecticut","09","2008-2012","Crude Rate (per 100,000)","Deaths",9.41
"Connecticut","09","2008-2012","Number","Deaths",1672
"Connecticut","09","2010-2014","AAMR (per 100,000)","Deaths",9.29
"Connecticut","09","2010-2014","Crude Rate (per 100,000)","Deaths",9.83
"Connecticut","09","2010-2014","Number","Deaths",1764
"Cornwall","0900517240","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Cornwall","0900517240","2006-2010","Crude Rate (per 100,000)","Deaths",12.59
"Cornwall","0900517240","2006-2010","Number","Deaths",1
"Cornwall","0900517240","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Cornwall","0900517240","2007-2011","Crude Rate (per 100,000)","Deaths",40.84
"Cornwall","0900517240","2007-2011","Number","Deaths",3
"Cornwall","0900517240","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Cornwall","0900517240","2008-2012","Crude Rate (per 100,000)","Deaths",28.19
"Cornwall","0900517240","2008-2012","Number","Deaths",2
"Cornwall","0900517240","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Cornwall","0900517240","2010-2014","Crude Rate (per 100,000)","Deaths",28.41
"Cornwall","0900517240","2010-2014","Number","Deaths",2
"Coventry","0901317800","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Coventry","0901317800","2006-2010","Crude Rate (per 100,000)","Deaths",11.33
"Coventry","0901317800","2006-2010","Number","Deaths",7
"Coventry","0901317800","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Coventry","0901317800","2007-2011","Crude Rate (per 100,000)","Deaths",8.06
"Coventry","0901317800","2007-2011","Number","Deaths",5
"Coventry","0901317800","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Coventry","0901317800","2008-2012","Crude Rate (per 100,000)","Deaths",11.26
