Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2019,2019 Annual,Cardiovascular Deaths - Asian/Pacific Islander,California,,156.8,,158.7,155,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - Black/African American,California,,338.8,,343.5,334.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - Crude Rate,California,7,217.3,-0.92,218.1,216.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - Female,California,20,196.1,,197.2,195,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - Hispanic/Latino,California,43,191.8,,193.6,189.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - Male,California,16,285.3,,286.9,283.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - Standard Age Adjustment,California,15,199.1,-0.6,199.8,198.3,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - White,California,,246.1,,247.1,245,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Children in Poverty,California,27,17.4,-0.13,17.6,17.2,"U.S. Census Bureau, American Community Survey",2018
2019,2019 Annual,Chlamydia,California,36,553.4,0.26,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Chlamydia - American Indian/Alaska Native,California,,407.2,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Chlamydia - Asian,California,,140.6,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Chlamydia - Black/African American,California,,988.7,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Chlamydia - Female,California,,679,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Chlamydia - Hispanic/Latino,California,,335.6,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Chlamydia - Male,California,,423.8,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Chlamydia - Multiracial,California,,77.9,,,,AHR data,
2019,2019 Annual,Chlamydia - Native Hawaiian/ PI,California,,499.5,,,,AHR data,
2019,2019 Annual,Chlamydia - White,California,,217.1,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2017
2019,2019 Annual,Cholesterol Check,California,13,87.6,0.5,88.5,86.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,"Cholesterol Check - $25-$49,999",California,23,86.7,-0.11,89,84.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,"Cholesterol Check - $50-$74,999",California,12,90.2,0.38,92.7,87.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,"Cholesterol Check - $75,000 or More",California,17,92.3,0.04,93.7,91,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Ages 18-44,California,11,79.3,0.3,81,77.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Ages 45-64,California,10,93.4,0.48,94.6,92.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Ages 65+,California,6,97.7,0.64,98.5,96.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - American Indian/Alaskan Native,California,,94.4,,101.8,87,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Asian,California,,89.9,,92.7,87.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Black,California,,92.5,,95.6,89.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - College Grad,California,19,92.3,0,93.4,91.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Female,California,13,90,0.28,91.2,88.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Hawaiian/Pacific Islander,California,,,,104.1,58.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - High School Grad,California,20,87.7,0,89.9,85.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Hispanic,California,,84.6,,86.3,82.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,"Cholesterol Check - Less Than $25,000",California,20,86.2,0,88.2,84.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Less Than High School,California,28,83.6,-0.03,86.2,81,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Male,California,14,85.1,0.16,86.5,83.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Multiracial,California,,89.5,,93.8,85.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Other Race,California,,90.3,,95.9,84.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - Some College,California,10,91.3,0.58,93,89.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Cholesterol Check - White,California,11,88.7,0.39,90,87.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2019,2019 Annual,Clinical Care,California,6,0.131,0.131,,,America's Health Rankings composite measure,2019
2019,2019 Annual,Colorectal Cancer Screening,California,17,71.6,0.43,73.5,69.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Colorectal Cancer Screening - $25-$49,999",California,34,66.1,-0.31,71.6,60.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Colorectal Cancer Screening - $50-$74,999",California,8,78.6,1.16,83.7,73.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Colorectal Cancer Screening - $75,000 or More",California,4,81.4,1.58,84.2,78.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - American Indian/Alaskan Native,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Asian,California,,71.9,,79.2,64.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Black,California,,76.0,,83.3,68.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - College Grad,California,3,81.2,1.27,84,78.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Female,California,18,73.3,0.5,76,70.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Hawaiian/Pacific Islander,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - High School Grad,California,12,68.9,0.58,73.5,64.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Hispanic,California,,56.2,,59.9,52.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Colorectal Cancer Screening - Less Than $25,000",California,41,56.2,-0.86,60.3,52.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Less Than High School,California,40,49.4,-0.5,54.7,44,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Male,California,17,69.7,0.44,72.4,67,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Multiracial,California,,60.6,,74.4,46.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Other Race,California,,73.1,,87.6,58.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - Some College,California,9,75.2,0.7,78.6,71.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Colorectal Cancer Screening - White,California,1,79.1,1.62,81.3,76.9,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Community & Environment,California,42,-0.091,-0.091,,,America's Health Rankings composite measure,2019
2019,2019 Annual,Concentrated Disadvantage,California,44,31.4,1.13,,,"U.S. Census Bureau, American Community Survey, IPUMS National Historical Geographic Information System, University of Minnesota",2013-2017
2019,2019 Annual,"Dedicated HC Provider - $25-$49,999",California,45,71.1,-0.96,74,68.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dedicated HC Provider - $50-$74,999",California,38,76.9,-0.72,80.3,73.5,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dedicated HC Provider - $75,000 or More",California,29,84.6,-0.08,86.1,83.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - 18-44,California,35,61.6,-0.37,63.3,59.9,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - 45-64,California,33,83.3,-0.27,84.8,81.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - 65+,California,27,93.6,-0.04,94.9,92.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - American Indian/Alaskan Native,California,,81.3,,90.6,72,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Asian,California,,82.1,,84.9,79.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Black,California,,80.1,,84.2,76.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - College Grad,California,29,84.3,-0.02,85.7,83,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Female,California,38,80.1,-0.38,81.4,78.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Hawaiian/Pacific Islander,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - High School Grad,California,45,70.3,-1.17,73,67.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Hispanic,California,,63.1,,65,61.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dedicated HC Provider - Less Than $25,000",California,43,68.0,-0.78,70.3,65.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Less Than High School,California,39,62.8,-0.56,65.8,59.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Male,California,35,69.1,-0.48,70.6,67.5,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Multiracial,California,,78.8,,84.6,73,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Other Race,California,,75.0,,82.5,67.5,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - Some College,California,26,81.6,-0.02,83.4,79.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated HC Provider - White,California,23,81.1,-0.1,82.5,79.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dedicated Health Care Provider,California,35,74.7,-0.54,75.7,73.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dental Visit - $25-$49,999",California,21,60.9,0.06,64.1,57.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dental Visit - $50-$74,999",California,48,65.3,-1.52,69.1,61.5,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dental Visit - $75,000 or More",California,26,81.8,0.28,83.4,80.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Ages 18-44,California,31,63.8,-0.18,65.4,62.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Ages 45-64,California,22,70.4,0.33,72.3,68.5,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Ages 65+,California,16,71.4,0.57,74.2,68.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - American Indian/Alaskan Native,California,,62.0,,74.4,49.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Asian,California,,72.8,,76.7,69,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Black,California,,61.0,,66.2,55.9,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - College Grad,California,34,79.6,-0.25,81.1,78,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Female,California,28,70.4,0.24,72,68.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Hawaiian/Pacific Islander,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - High School Grad,California,20,59.7,0.12,62.7,56.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Hispanic,California,,57.3,,59.2,55.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dental Visit - Less Than $25,000",California,17,48.7,0.34,51.3,46.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Less Than High School,California,12,49.2,0.58,52.3,46,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Male,California,24,64.2,0.08,65.8,62.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Multiracial,California,,65.3,,72.7,57.9,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Other Race,California,,71.3,,79.3,63.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - Some College,California,19,68.9,0.35,71.2,66.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dental Visit - White,California,8,74.7,0.9,76.3,73.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Dental Visit, Annual",California,26,67.4,-0.04,68.5,66.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Dentists,California,4,77.8,1.55,,,American Dental Association,2018
2019,2019 Annual,Diabetes,California,19,10.4,-0.26,11.2,9.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Diabetes - $25-$49,999",California,2,10.0,-1.76,11.9,8.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Diabetes - $50-$74,999",California,43,13.3,0.94,16.3,10.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Diabetes - $75,000 or More",California,27,7.5,0,8.7,6.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Ages 18-44,California,11,2.6,-0.67,3.2,2.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Ages 45-64,California,27,14.4,-0.17,15.9,12.9,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Ages 65+,California,32,23.8,-0.03,26.4,21.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - American Indian/Alaskan Native,California,,24.0,,35.2,12.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Asian,California,,10.6,,13.6,7.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Black,California,,14.8,,18.5,11.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - College Grad,California,25,7.8,-0.14,9,6.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Female,California,23,10.3,-0.31,11.4,9.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Hawaiian/Pacific Islander,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - High School Grad,California,2,10.4,-1.72,12.2,8.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Hispanic,California,,11.8,,13,10.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Diabetes - Less Than $25,000",California,16,18.0,-0.53,20,16,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Less Than High School,California,23,18.4,-0.39,20.8,16,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Male,California,18,10.6,-0.64,11.6,9.5,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Multiracial,California,,12.8,,18.1,7.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Other Race,California,,19.5,,28.6,10.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - Some College,California,24,12.5,-0.32,14.3,10.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Diabetes - White,California,5,8.1,-1.23,9,7.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Disconnected Youth,California,27,11.3,-0.08,,,"Measure of America, Youth Disconnection Report",2017
2019,2019 Annual,Discrimination,California,20,3.2,-0.44,4.4,2,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 Annual,Disparity in Health Status,California,47,31.8,0.86,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Domestic violence,California,3,3.3,-1.17,4.5,2,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 Annual,Drug Deaths,California,7,12.1,-0.84,12.3,11.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Ages 15-24,California,,6.2,,6.6,5.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Ages 25-34,California,3,13.5,,14,12.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Ages 35-44,California,3,15,,15.6,14.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Ages 45-54,California,5,22.1,,22.8,21.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Ages 55-64,California,30,25.1,,26,24.3,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Ages 65-74,California,,11.7,,12.4,11,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - American Indian/Alaska Native,California,,10.7,,12.1,9.3,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Asian/Pacific Islander,California,,2.8,,3.1,2.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Black/African American,California,,17,,17.9,16.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Female,California,6,8.4,,8.6,8.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Hispanic/Latino,California,,6.6,,6.9,6.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - Male,California,14,15.9,,16.2,15.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Drug Deaths - White,California,10,13.8,,14.1,13.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,E-cigarette Use,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"E-cigarette Use - $25-$49,999",California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"E-cigarette Use - $50-$74,999",California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"E-cigarette Use - $75,000 or More",California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Ages 18-44,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Ages 45-64,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Ages 65+,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - American Indian/Alaskan Native,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Asian,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Black,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - College Grad,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Female,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Hawaiian/Pacific Islander,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - High School Grad,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Hispanic,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"E-cigarette Use - Less Than $25,000",California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Less Than High School,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Male,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Multiracial,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Other Race,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - Some College,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,E-cigarette Use - White,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,Economic hardship,California,1,19.4,-1.72,22.9,15.9,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 Annual,Excessive Drinking,California,23,17.6,-0.21,18.5,16.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Excessive Drinking - $25-$49,999",California,37,17.9,0.38,20.3,15.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Excessive Drinking - $50-$74,999",California,21,17.7,-0.34,20.5,15,"CDC, Behavioral Risk Factor Surveillance System",2018
2019,2019 Annual,"Excessive Drinking - $75,000 or More",California,16,20.6,-0.31,22.2,18.9,"CDC, Behavioral Risk Factor Surveillance System",2018
