Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate
Suicide,Contra Costa,2009-2011,Sex,Male,254,1542000,16.48,16.16
Suicide,Contra Costa,2009-2011,Sex,Total,353,3159000,11.17,10.67
Suicide,Contra Costa,2012-2014,Sex,Female,77,1673000,4.604,4.188
Suicide,Contra Costa,2012-2014,Sex,Male,241,1596000,15.1,14.98
Suicide,Contra Costa,2012-2014,Sex,Total,318,3268000,9.73,9.341
Suicide,Contra Costa,2015-2017,Sex,Female,87,1733000,5.021,4.779
Suicide,Contra Costa,2015-2017,Sex,Male,269,1657000,16.23,15.91
Suicide,Contra Costa,2015-2017,Sex,Total,356,3390000,10.5,10.11
Suicide,Del Norte,2000-2002,Sex,Total,19,82470,23.04,22.44
Suicide,Del Norte,2003-2005,Sex,Total,14,84360,16.59,15.52
Suicide,Del Norte,2009-2011,Sex,Total,20,85160,23.49,22.67
Suicide,Del Norte,2012-2014,Sex,Total,20,82770,24.16,22.69
Suicide,El Dorado,2000-2002,Sex,Female,13,242700,5.357,5.355
Suicide,El Dorado,2000-2002,Sex,Male,53,242300,21.88,22.95
Suicide,El Dorado,2000-2002,Sex,Total,66,484900,13.61,13.92
Suicide,El Dorado,2003-2005,Sex,Total,76,511200,14.87,13.92
Suicide,El Dorado,2006-2008,Sex,Female,19,265600,7.153,6.65
Suicide,El Dorado,2006-2008,Sex,Male,46,265400,17.33,17.64
Suicide,El Dorado,2006-2008,Sex,Total,65,531100,12.24,12.03
Suicide,El Dorado,2009-2011,Sex,Female,24,270600,8.868,7.499
Suicide,El Dorado,2009-2011,Sex,Male,89,270900,32.85,30.91
Suicide,El Dorado,2009-2011,Sex,Total,113,541500,20.87,18.81
Suicide,El Dorado,2012-2014,Sex,Female,17,272200,6.245,4.843
Suicide,El Dorado,2012-2014,Sex,Male,75,273700,27.4,24.9
Suicide,El Dorado,2012-2014,Sex,Total,92,545900,16.85,14.8
Suicide,El Dorado,2015-2017,Sex,Female,19,275000,6.908,5.689
Suicide,El Dorado,2015-2017,Sex,Male,79,277400,28.48,29.06
Suicide,El Dorado,2015-2017,Sex,Total,98,552400,17.74,17.37
Suicide,Fresno,2000-2002,Sex,Female,36,1222000,2.946,3.158
Suicide,Fresno,2000-2002,Sex,Male,155,1224000,12.67,14.64
Suicide,Fresno,2000-2002,Sex,Total,191,2446000,7.809,8.538
Suicide,Fresno,2003-2005,Sex,Female,35,1289000,2.715,2.949
Suicide,Fresno,2003-2005,Sex,Male,193,1289000,14.98,16.48
Suicide,Fresno,2003-2005,Sex,Total,228,2578000,8.844,9.524
Suicide,Fresno,2006-2008,Sex,Female,57,1350000,4.222,4.425
Suicide,Fresno,2006-2008,Sex,Male,191,1349000,14.16,15.56
Suicide,Fresno,2006-2008,Sex,Total,248,2699000,9.187,9.822
Suicide,Fresno,2009-2011,Sex,Female,58,1400000,4.142,4.346
Suicide,Fresno,2009-2011,Sex,Male,160,1398000,11.44,12.37
Suicide,Fresno,2009-2011,Sex,Total,218,2799000,7.79,8.178
Suicide,Fresno,2012-2014,Sex,Female,55,1441000,3.818,4.018
Suicide,Fresno,2012-2014,Sex,Male,218,1439000,15.15,16.79
Suicide,Fresno,2012-2014,Sex,Total,273,2880000,9.481,10.18
Suicide,Fresno,2015-2017,Sex,Female,61,1485000,4.108,4.354
Suicide,Fresno,2015-2017,Sex,Male,242,1484000,16.31,17.5
Suicide,Fresno,2015-2017,Sex,Total,303,2968000,10.21,10.78
Suicide,Glenn,2000-2002,Sex,Total,19,79960,23.76,24.81
Suicide,Glenn,2003-2005,Sex,Total,11,81950,13.42,13.48
Suicide,Glenn,2015-2017,Sex,Total,26,87240,29.8,28.31
Suicide,Humboldt,2000-2002,Sex,Female,11,192800,5.706,5.582
Suicide,Humboldt,2000-2002,Sex,Male,68,190000,35.79,36.67
Suicide,Humboldt,2000-2002,Sex,Total,79,382800,20.64,20.06
Suicide,Humboldt,2003-2005,Sex,Female,19,197500,9.622,8.889
Suicide,Humboldt,2003-2005,Sex,Male,61,195700,31.18,31.5
Suicide,Humboldt,2003-2005,Sex,Total,80,393100,20.35,19.39
Suicide,Humboldt,2006-2008,Sex,Female,26,199300,13.04,12.27
Suicide,Humboldt,2006-2008,Sex,Male,61,198700,30.69,29.59
Suicide,Humboldt,2006-2008,Sex,Total,87,398100,21.85,20.59
Suicide,Humboldt,2009-2011,Sex,Female,22,201400,10.92,10.36
Suicide,Humboldt,2009-2011,Sex,Male,72,202600,35.53,33.81
Suicide,Humboldt,2009-2011,Sex,Total,94,404000,23.27,21.85
Suicide,Humboldt,2012-2014,Sex,Female,28,201500,13.9,12.98
Suicide,Humboldt,2012-2014,Sex,Male,77,203000,37.93,36.58
Suicide,Humboldt,2012-2014,Sex,Total,105,404500,25.96,24.72
Suicide,Humboldt,2015-2017,Sex,Female,26,203300,12.79,12.52
Suicide,Humboldt,2015-2017,Sex,Male,66,204800,32.23,32.37
Suicide,Humboldt,2015-2017,Sex,Total,92,408000,22.55,22.5
Suicide,Imperial,2000-2002,Sex,Total,26,435100,5.976,6.409
Suicide,Imperial,2003-2005,Sex,Total,30,462500,6.486,7.223
Suicide,Imperial,2006-2008,Sex,Total,30,499500,6.006,6.652
Suicide,Imperial,2009-2011,Sex,Total,36,526100,6.843,7.183
Suicide,Imperial,2012-2014,Sex,Total,36,542900,6.631,6.798
Suicide,Imperial,2015-2017,Sex,Female,14,276700,5.06,5.423
Suicide,Imperial,2015-2017,Sex,Male,34,285200,11.92,12.85
Suicide,Imperial,2015-2017,Sex,Total,48,561900,8.543,9
Suicide,Inyo,2000-2002,Sex,Male,13,26970,48.21,38.98
Suicide,Inyo,2000-2002,Sex,Total,13,54740,23.75,18.91
Suicide,Inyo,2003-2005,Sex,Total,13,55540,23.41,20.14
Suicide,Inyo,2009-2011,Sex,Male,13,27960,46.5,36.75
Suicide,Inyo,2009-2011,Sex,Total,13,55530,23.41,18.16
Suicide,Inyo,2012-2014,Sex,Total,12,55780,21.51,16.16
Suicide,Inyo,2015-2017,Sex,Total,12,55980,21.44,15.7
Suicide,Kern,2000-2002,Sex,Female,32,991600,3.227,3.476
Suicide,Kern,2000-2002,Sex,Male,175,1049000,16.68,19.99
Suicide,Kern,2000-2002,Sex,Total,207,2041000,10.14,11.36
Suicide,Kern,2003-2005,Sex,Female,51,1076000,4.738,5.074
Suicide,Kern,2003-2005,Sex,Male,170,1143000,14.87,17.26
Suicide,Kern,2003-2005,Sex,Total,221,2220000,9.956,10.98
Suicide,Kern,2006-2008,Sex,Female,47,1168000,4.022,4.347
Suicide,Kern,2006-2008,Sex,Male,181,1243000,14.56,16.99
Suicide,Kern,2006-2008,Sex,Total,228,2412000,9.453,10.51
Suicide,Kern,2009-2011,Sex,Female,57,1223000,4.662,4.955
Suicide,Kern,2009-2011,Sex,Male,209,1300000,16.07,17.87
Suicide,Kern,2009-2011,Sex,Total,266,2523000,10.54,11.37
Suicide,Kern,2012-2014,Sex,Female,71,1268000,5.599,5.769
Suicide,Kern,2012-2014,Sex,Male,253,1335000,18.95,20.77
Suicide,Kern,2012-2014,Sex,Total,324,2604000,12.44,13.18
Suicide,Kern,2015-2017,Sex,Female,83,1301000,6.381,6.501
Suicide,Kern,2015-2017,Sex,Male,273,1369000,19.94,21.39
Suicide,Kern,2015-2017,Sex,Total,356,2670000,13.33,13.96
Suicide,Kings,2000-2002,Sex,Total,32,396900,8.063,8.313
Suicide,Kings,2003-2005,Sex,Total,37,426000,8.685,9.342
Suicide,Kings,2006-2008,Sex,Total,35,449700,7.783,8.629
Suicide,Kings,2009-2011,Sex,Total,31,455300,6.808,6.967
Suicide,Kings,2012-2014,Sex,Total,41,449700,9.118,10.01
Suicide,Kings,2015-2017,Sex,Total,51,449600,11.34,12.2
Suicide,Lake,2000-2002,Sex,Total,43,179500,23.95,21.43
Suicide,Lake,2003-2005,Sex,Total,33,187700,17.58,16.91
Suicide,Lake,2006-2008,Sex,Female,15,96170,15.6,15.78
Suicide,Lake,2006-2008,Sex,Male,38,95980,39.59,39.01
Suicide,Lake,2006-2008,Sex,Total,53,192100,27.58,27.1
Suicide,Lake,2009-2011,Sex,Female,13,96680,13.45,12.79
Suicide,Lake,2009-2011,Sex,Male,45,97350,46.23,40.34
Suicide,Lake,2009-2011,Sex,Total,58,194000,29.89,26.51
Suicide,Lake,2012-2014,Sex,Total,52,194800,26.69,24.46
Suicide,Lake,2015-2017,Sex,Female,14,97800,14.31,11.31
Suicide,Lake,2015-2017,Sex,Male,45,97660,46.08,45.76
Suicide,Lake,2015-2017,Sex,Total,59,195500,30.18,28.78
Suicide,Lassen,2000-2002,Sex,Total,21,101100,20.77,22.85
Suicide,Lassen,2003-2005,Sex,Total,17,103200,16.48,17.12
Suicide,Lassen,2006-2008,Sex,Total,21,105900,19.83,18.16
Suicide,Lassen,2009-2011,Sex,Total,13,104200,12.48,11.89
Suicide,Lassen,2012-2014,Sex,Total,24,97150,24.7,22.22
Suicide,Lassen,2015-2017,Sex,Total,21,92270,22.76,22.79
Suicide,Los Angeles,2000-2002,Sex,Female,466,14640000,3.184,3.303
Suicide,Los Angeles,2000-2002,Sex,Male,1734,14270000,12.16,13.66
Suicide,Los Angeles,2000-2002,Sex,Total,2200,28900000,7.612,8.094
Suicide,Los Angeles,2003-2005,Sex,Female,473,14910000,3.173,3.216
Suicide,Los Angeles,2003-2005,Sex,Male,1625,14520000,11.19,12.32
Suicide,Los Angeles,2003-2005,Sex,Total,2098,29420000,7.13,7.453
Suicide,Los Angeles,2006-2008,Sex,Female,463,14880000,3.112,3.073
Suicide,Los Angeles,2006-2008,Sex,Male,1612,14480000,11.13,11.84
Suicide,Los Angeles,2006-2008,Sex,Total,2075,29360000,7.068,7.194
Suicide,Los Angeles,2009-2011,Sex,Female,517,14980000,3.452,3.351
Suicide,Los Angeles,2009-2011,Sex,Male,1783,14570000,12.24,12.52
Suicide,Los Angeles,2009-2011,Sex,Total,2300,29540000,7.785,7.693
Suicide,Los Angeles,2012-2014,Sex,Female,506,15280000,3.312,3.195
Suicide,Los Angeles,2012-2014,Sex,Male,1821,14890000,12.23,12.3
Suicide,Los Angeles,2012-2014,Sex,Total,2327,30170000,7.713,7.52
Suicide,Los Angeles,2015-2017,Sex,Female,539,15540000,3.469,3.317
Suicide,Los Angeles,2015-2017,Sex,Male,1971,15170000,13,12.8
Suicide,Los Angeles,2015-2017,Sex,Total,2510,30700000,8.175,7.87
Suicide,Madera,2000-2002,Sex,Total,35,379200,9.23,9.872
Suicide,Madera,2003-2005,Sex,Total,39,409200,9.531,10.64
Suicide,Madera,2006-2008,Sex,Female,13,228100,5.7,5.762
Suicide,Madera,2006-2008,Sex,Male,36,211400,17.03,19.11
Suicide,Madera,2006-2008,Sex,Total,49,439400,11.15,11.9
Suicide,Madera,2009-2011,Sex,Female,16,234000,6.837,6.971
Suicide,Madera,2009-2011,Sex,Male,41,217800,18.82,20.03
Suicide,Madera,2009-2011,Sex,Total,57,451800,12.62,13.1
Suicide,Madera,2012-2014,Sex,Female,12,235500,5.095,5.255
Suicide,Madera,2012-2014,Sex,Male,55,221700,24.81,26.89
Suicide,Madera,2012-2014,Sex,Total,67,457200,14.65,15.43
Suicide,Madera,2015-2017,Sex,Female,11,241500,4.556,4.458
Suicide,Madera,2015-2017,Sex,Male,39,226500,17.22,18.54
Suicide,Madera,2015-2017,Sex,Total,50,467900,10.69,11.04
Suicide,Marin,2000-2002,Sex,Female,23,375900,6.119,5.237
Suicide,Marin,2000-2002,Sex,Male,77,366600,21,19.75
Suicide,Marin,2000-2002,Sex,Total,100,742500,13.47,12.1
Suicide,Marin,2003-2005,Sex,Female,31,375200,8.262,7.632
Suicide,Marin,2003-2005,Sex,Male,67,365400,18.33,16.43
Suicide,Marin,2003-2005,Sex,Total,98,740700,13.23,11.53
Suicide,Marin,2006-2008,Sex,Female,30,378100,7.934,5.941
Suicide,Marin,2006-2008,Sex,Male,86,368200,23.36,20.93
Suicide,Marin,2006-2008,Sex,Total,116,746300,15.54,13.48
Suicide,Marin,2009-2011,Sex,Female,38,384700,9.878,8.985
Suicide,Marin,2009-2011,Sex,Male,79,373100,21.17,18.36
Suicide,Marin,2009-2011,Sex,Total,117,757800,15.44,13.44
Suicide,Marin,2012-2014,Sex,Female,32,393600,8.131,6.92
Suicide,Marin,2012-2014,Sex,Male,78,381800,20.43,17.21
Suicide,Marin,2012-2014,Sex,Total,110,775400,14.19,11.91
Suicide,Marin,2015-2017,Sex,Female,26,400300,6.495,4.715
Suicide,Marin,2015-2017,Sex,Male,93,389400,23.88,20.61
Suicide,Marin,2015-2017,Sex,Total,119,789800,15.07,12.52
Suicide,Mariposa,2003-2005,Sex,Total,12,53690,22.35,23.12
Suicide,Mariposa,2006-2008,Sex,Total,13,55010,23.63,21.42
Suicide,Mariposa,2009-2011,Sex,Total,15,54760,27.39,23.39
Suicide,Mariposa,2012-2014,Sex,Total,16,54500,29.36,32.32
Suicide,Mariposa,2015-2017,Sex,Total,18,54200,33.21,33.12
Suicide,Mendocino,2000-2002,Sex,Total,43,261200,16.47,15.83
Suicide,Mendocino,2003-2005,Sex,Female,14,132400,10.57,10.36
Suicide,Mendocino,2003-2005,Sex,Male,36,131900,27.3,27.53
Suicide,Mendocino,2003-2005,Sex,Total,50,264300,18.92,18.77
Suicide,Mendocino,2006-2008,Sex,Female,16,131700,12.15,11.96
Suicide,Mendocino,2006-2008,Sex,Male,49,131300,37.32,35.35
Suicide,Mendocino,2006-2008,Sex,Total,65,263000,24.71,23.49
Suicide,Mendocino,2009-2011,Sex,Female,15,131100,11.44,11.41
Suicide,Mendocino,2009-2011,Sex,Male,49,131300,37.31,33.79
Suicide,Mendocino,2009-2011,Sex,Total,64,262500,24.38,22.3
Suicide,Mendocino,2012-2014,Sex,Female,13,132000,9.849,9.317
Suicide,Mendocino,2012-2014,Sex,Male,49,132600,36.96,38.61
Suicide,Mendocino,2012-2014,Sex,Total,62,264600,23.43,23.98
Suicide,Mendocino,2015-2017,Sex,Total,60,266800,22.49,21.25
Suicide,Merced,2000-2002,Sex,Total,55,651200,8.446,9.867
Suicide,Merced,2003-2005,Sex,Total,53,705300,7.514,8.485
Suicide,Merced,2006-2008,Sex,Female,11,372300,2.954,3.322
Suicide,Merced,2006-2008,Sex,Male,36,374700,9.608,11.02
Suicide,Merced,2006-2008,Sex,Total,47,747000,6.292,6.916
Suicide,Merced,2009-2011,Sex,Female,25,382900,6.529,6.739
Suicide,Merced,2009-2011,Sex,Male,61,388100,15.72,17.64
Suicide,Merced,2009-2011,Sex,Total,86,771000,11.15,12.09
Suicide,Merced,2012-2014,Sex,Female,18,394300,4.565,4.697
Suicide,Merced,2012-2014,Sex,Male,51,401200,12.71,14.79
Suicide,Merced,2012-2014,Sex,Total,69,795400,8.675,9.511
Suicide,Merced,2015-2017,Sex,Female,22,405600,5.424,5.81
Suicide,Merced,2015-2017,Sex,Male,63,412700,15.27,16.92
Suicide,Merced,2015-2017,Sex,Total,85,818300,10.39,11.33
Suicide,Monterey,2000-2002,Sex,Female,20,588400,3.399,3.646
Suicide,Monterey,2000-2002,Sex,Male,62,629300,9.852,10.54
Suicide,Monterey,2000-2002,Sex,Total,82,1218000,6.734,7.151
Suicide,Monterey,2003-2005,Sex,Female,34,597000,5.695,5.856
Suicide,Monterey,2003-2005,Sex,Male,79,634100,12.46,13.91
Suicide,Monterey,2003-2005,Sex,Total,113,1231000,9.179,9.712
Suicide,Monterey,2006-2008,Sex,Female,30,595200,5.04,5.175
Suicide,Monterey,2006-2008,Sex,Male,89,629400,14.14,14.81
Suicide,Monterey,2006-2008,Sex,Total,119,1225000,9.717,10.06
Suicide,Monterey,2009-2011,Sex,Female,27,606300,4.453,4.3
Suicide,Monterey,2009-2011,Sex,Male,83,641600,12.94,13.41
Suicide,Monterey,2009-2011,Sex,Total,110,1248000,8.815,8.858
Suicide,Monterey,2012-2014,Sex,Female,31,622900,4.977,5.107
Suicide,Monterey,2012-2014,Sex,Male,88,657200,13.39,13.74
Suicide,Monterey,2012-2014,Sex,Total,119,1280000,9.296,9.289
Suicide,Monterey,2015-2017,Sex,Female,34,643500,5.284,5.124
Suicide,Monterey,2015-2017,Sex,Male,87,679300,12.81,13.06
Suicide,Monterey,2015-2017,Sex,Total,121,1323000,9.147,8.998
Suicide,Napa,2000-2002,Sex,Total,33,378700,8.714,7.858
Suicide,Napa,2003-2005,Sex,Female,14,195600,7.157,7.064
Suicide,Napa,2003-2005,Sex,Male,25,194800,12.84,12.45
Suicide,Napa,2003-2005,Sex,Total,39,390400,9.991,9.697
Suicide,Napa,2006-2008,Sex,Total,50,399900,12.5,12.23
Suicide,Napa,2009-2011,Sex,Female,13,204900,6.345,4.679
Suicide,Napa,2009-2011,Sex,Male,34,204200,16.65,16.56
Suicide,Napa,2009-2011,Sex,Total,47,409100,11.49,10.53
Suicide,Napa,2012-2014,Sex,Female,12,209800,5.719,5.712
Suicide,Napa,2012-2014,Sex,Male,42,208800,20.12,20.17
Suicide,Napa,2012-2014,Sex,Total,54,418600,12.9,12.41
Suicide,Napa,2015-2017,Sex,Total,46,426700,10.78,9.519
Suicide,Nevada,2000-2002,Sex,Female,14,141700,9.883,10.47
Suicide,Nevada,2000-2002,Sex,Male,39,138300,28.2,28.43
Suicide,Nevada,2000-2002,Sex,Total,53,280000,18.93,17.95
Suicide,Nevada,2003-2005,Sex,Female,12,147100,8.156,6.808
Suicide,Nevada,2003-2005,Sex,Male,30,143700,20.87,20.59
Suicide,Nevada,2003-2005,Sex,Total,42,290900,14.44,13.54
Suicide,Nevada,2006-2008,Sex,Female,11,149400,7.365,5.402
Suicide,Nevada,2006-2008,Sex,Male,41,146200,28.05,26.96
Suicide,Nevada,2006-2008,Sex,Total,52,295500,17.6,16.15
Suicide,Nevada,2009-2011,Sex,Female,18,149300,12.06,13.82
Suicide,Nevada,2009-2011,Sex,Male,41,146100,28.07,26.52
Suicide,Nevada,2009-2011,Sex,Total,59,295300,19.98,19.98
Suicide,Nevada,2012-2014,Sex,Female,14,148700,9.414,7.83
Suicide,Nevada,2012-2014,Sex,Male,51,145400,35.07,30.99
Suicide,Nevada,2012-2014,Sex,Total,65,294100,22.1,19.22
Suicide,Nevada,2015-2017,Sex,Female,13,149300,8.707,6.621
Suicide,Nevada,2015-2017,Sex,Male,48,146300,32.81,28.04
Suicide,Nevada,2015-2017,Sex,Total,61,295600,20.64,17.15
Suicide,Orange,2000-2002,Sex,Female,178,4363000,4.08,4.168
Suicide,Orange,2000-2002,Sex,Male,534,4295000,12.43,13.66
Suicide,Orange,2000-2002,Sex,Total,712,8658000,8.223,8.612
Suicide,Orange,2003-2005,Sex,Female,190,4465000,4.256,4.266
Suicide,Orange,2003-2005,Sex,Male,538,4389000,12.26,13.36
Suicide,Orange,2003-2005,Sex,Total,728,8853000,8.223,8.452
Suicide,Orange,2006-2008,Sex,Female,228,4493000,5.074,4.936
Suicide,Orange,2006-2008,Sex,Male,584,4411000,13.24,13.65
Suicide,Orange,2006-2008,Sex,Total,812,8904000,9.119,9.104
Suicide,Orange,2009-2011,Sex,Female,207,4576000,4.524,4.386
Suicide,Orange,2009-2011,Sex,Male,622,4487000,13.86,13.89
Suicide,Orange,2009-2011,Sex,Total,829,9063000,9.147,8.931
Suicide,Orange,2012-2014,Sex,Female,230,4708000,4.885,4.602
Suicide,Orange,2012-2014,Sex,Male,726,4625000,15.7,15.62
Suicide,Orange,2012-2014,Sex,Total,956,9333000,10.24,9.854
Suicide,Orange,2015-2017,Sex,Female,236,4809000,4.907,4.589
Suicide,Orange,2015-2017,Sex,Male,688,4735000,14.53,13.92
Suicide,Orange,2015-2017,Sex,Total,924,9544000,9.681,9.145
Suicide,Placer,2000-2002,Sex,Female,20,404800,4.941,4.843
Suicide,Placer,2000-2002,Sex,Male,76,388700,19.55,20.27
Suicide,Placer,2000-2002,Sex,Total,96,793500,12.1,12.12
Suicide,Placer,2003-2005,Sex,Female,26,462700,5.619,5.28
Suicide,Placer,2003-2005,Sex,Male,78,443400,17.59,17.74
Suicide,Placer,2003-2005,Sex,Total,104,906100,11.48,11.29
Suicide,Placer,2006-2008,Sex,Female,31,505900,6.127,5.867
Suicide,Placer,2006-2008,Sex,Male,82,484000,16.94,16.58
Suicide,Placer,2006-2008,Sex,Total,113,989900,11.42,10.96
Suicide,Placer,2009-2011,Sex,Female,27,536700,5.031,4.884
Suicide,Placer,2009-2011,Sex,Male,134,512900,26.13,25.41
Suicide,Placer,2009-2011,Sex,Total,161,1050000,15.34,14.72
Suicide,Placer,2012-2014,Sex,Female,26,557500,4.663,3.812
Suicide,Placer,2012-2014,Sex,Male,106,534800,19.82,18.29
Suicide,Placer,2012-2014,Sex,Total,132,1092000,12.08,10.77
Suicide,Placer,2015-2017,Sex,Female,35,574300,6.094,5.753
Suicide,Placer,2015-2017,Sex,Male,110,553500,19.87,18.18
Suicide,Placer,2015-2017,Sex,Total,145,1128000,12.86,11.78
Suicide,Plumas,2000-2002,Sex,Total,11,62050,17.73,19.48
Suicide,Plumas,2003-2005,Sex,Total,16,62500,25.6,24.24
Suicide,Plumas,2009-2011,Sex,Male,12,29980,40.02,33.78
Suicide,Plumas,2009-2011,Sex,Total,12,59970,20.01,16.41
Suicide,Plumas,2012-2014,Sex,Total,13,59340,21.91,19.79
Suicide,Plumas,2015-2017,Sex,Total,12,58510,20.51,17.53
Suicide,Riverside,2000-2002,Sex,Female,111,2444000,4.542,4.754
Suicide,Riverside,2000-2002,Sex,Male,394,2424000,16.25,17.91
Suicide,Riverside,2000-2002,Sex,Total,505,4868000,10.37,11.01
Suicide,Riverside,2003-2005,Sex,Female,105,2795000,3.756,3.892
Suicide,Riverside,2003-2005,Sex,Male,416,2769000,15.03,16.69
Suicide,Riverside,2003-2005,Sex,Total,521,5564000,9.364,9.932
Suicide,Riverside,2006-2008,Sex,Female,137,3128000,4.38,4.533
Suicide,Riverside,2006-2008,Sex,Male,467,3095000,15.09,16.25
Suicide,Riverside,2006-2008,Sex,Total,604,6223000,9.706,10.19
Suicide,Riverside,2009-2011,Sex,Female,132,3308000,3.991,3.978
Suicide,Riverside,2009-2011,Sex,Male,501,3275000,15.3,15.92
Suicide,Riverside,2009-2011,Sex,Total,633,6583000,9.616,9.745
Suicide,Riverside,2012-2014,Sex,Female,171,3436000,4.977,4.86
Suicide,Riverside,2012-2014,Sex,Male,546,3400000,16.06,16.53
Suicide,Riverside,2012-2014,Sex,Total,717,6836000,10.49,10.51
Suicide,Riverside,2015-2017,Sex,Female,202,3561000,5.673,5.542
Suicide,Riverside,2015-2017,Sex,Male,599,3525000,16.99,16.99
Suicide,Riverside,2015-2017,Sex,Total,801,7085000,11.3,11.07
Suicide,Sacramento,2000-2002,Sex,Female,95,1936000,4.906,4.933
Suicide,Sacramento,2000-2002,Sex,Male,317,1853000,17.1,18.44
Suicide,Sacramento,2000-2002,Sex,Total,412,3790000,10.87,11.16
Suicide,Sacramento,2003-2005,Sex,Female,125,2054000,6.085,6.063
Suicide,Sacramento,2003-2005,Sex,Male,365,1968000,18.55,19.41
Suicide,Sacramento,2003-2005,Sex,Total,490,4022000,12.18,12.36
